#R1	R2	Energy
1.099999979	1.099999979	2.799999952
1.299999982	1.099999979	2.799999952
1.499999985	1.099999979	2.337960478
1.699999988	1.099999979	1.87383774
1.899999991	1.099999979	1.560816857
2.099999994	1.099999979	1.33786041
2.299999997	1.099999979	1.174078917
2.5	1.099999979	1.051455619
2.700000003	1.099999979	0.958025428
2.900000006	1.099999979	0.885553508
3.100000009	1.099999979	0.828622576
3.300000012	1.099999979	0.78389708
3.500000015	1.099999979	0.749318949
3.700000018	1.099999979	0.723377221
3.900000021	1.099999979	0.704633088
4.100000024	1.099999979	0.691563833
4.300000027	1.099999979	0.682651232
4.50000003	1.099999979	0.676565148
4.700000033	1.099999979	0.672304591
4.900000036	1.099999979	0.669228431
5.100000039	1.099999979	0.666985535
5.300000042	1.099999979	0.665399193
5.500000045	1.099999979	0.664362915
5.700000048	1.099999979	0.663778735
5.900000051	1.099999979	0.663538997
6.100000054	1.099999979	0.663534564
6.300000057	1.099999979	0.663669974
6.50000006	1.099999979	0.663873387
6.700000063	1.099999979	0.664098092
6.900000066	1.099999979	0.664317995
7.100000069	1.099999979	0.664520986
7.300000072	1.099999979	0.664703007
7.500000075	1.099999979	0.664863944
7.700000077	1.099999979	0.665005287
7.90000008	1.099999979	0.665129008
8.100000083	1.099999979	0.665237098
8.300000086	1.099999979	0.665331419
8.500000089	1.099999979	0.665413662
8.700000092	1.099999979	0.665485337
8.900000095	1.099999979	0.665547782
1.099999979	4.300000027	0.682651232
1.299999982	4.300000027	7.03E-02
1.499999985	4.300000027	5.13E-02
1.699999988	4.300000027	0.329967373
1.899999991	4.300000027	0.751488027
2.099999994	4.300000027	1.230447689
2.299999997	4.300000027	1.71800595
2.5	4.300000027	2.185670965
2.700000003	4.300000027	2.616871009
2.900000006	4.300000027	2.799999952
3.100000009	4.300000027	2.799999952
3.300000012	4.300000027	2.799999952
3.500000015	4.300000027	2.799999952
3.700000018	4.300000027	2.799999952
3.900000021	4.300000027	2.799999952
4.100000024	4.300000027	2.799999952
4.300000027	4.300000027	2.799999952
4.50000003	4.300000027	2.799999952
4.700000033	4.300000027	2.799999952
4.900000036	4.300000027	2.799999952
5.100000039	4.300000027	2.799999952
5.300000042	4.300000027	2.799999952
5.500000045	4.300000027	2.799999952
5.700000048	4.300000027	2.799999952
5.900000051	4.300000027	2.799999952
6.100000054	4.300000027	2.799999952
6.300000057	4.300000027	2.799999952
6.50000006	4.300000027	2.799999952
6.700000063	4.300000027	2.799999952
6.900000066	4.300000027	2.799999952
7.100000069	4.300000027	2.799999952
7.300000072	4.300000027	2.799999952
7.500000075	4.300000027	2.799999952
7.700000077	4.300000027	2.799999952
7.90000008	4.300000027	2.799999952
8.100000083	4.300000027	2.799999952
8.300000086	4.300000027	2.799999952
8.500000089	4.300000027	2.799999952
8.700000092	4.300000027	2.799999952
8.900000095	4.300000027	2.799999952
1.099999979	8.900000095	0.665547782
1.299999982	8.900000095	5.79E-02
1.499999985	8.900000095	4.33E-02
1.699999988	8.900000095	0.32571714
1.899999991	8.900000095	0.750092469
2.099999994	8.900000095	1.231173395
2.299999997	8.900000095	1.720427255
